,Country or Region,CodeNum,latitude,longitude,Rank,Score,GDP,Family,Health,Freedom,Generosity,Corruption,Year
459,Afghanistan,4.0,33.93911,67.709953,145,3.632,0.332,0.537,0.255,0.085,0.191,0.036,2018
539,Albania,8.0,41.153332,20.168331,112,4.586,0.916,0.817,0.79,0.419,0.149,0.032,2018
399,Algeria,12.0,28.033886,1.659626,84,5.295,0.979,1.154,0.687,0.077,0.055,0.135,2018
95,Angola,24.0,-11.202692,17.873887,142,3.795,0.73,1.125,0.269,0.0,0.079,0.061,2018
529,Azerbaijan,31.0,40.143105,47.576927,87,5.201,1.024,1.161,0.603,0.43,0.031,0.176,2018
8,Argentina,32.0,-38.416097,-63.616672,29,6.388,1.073,1.468,0.744,0.57,0.062,0.054,2018
34,Australia,36.0,-25.274398,133.775136,10,7.272,1.34,1.573,0.91,0.647,0.361,0.302,2018
629,Austria,40.0,47.516231,14.550072,12,7.139,1.341,1.504,0.891,0.617,0.242,0.224,2018
379,Bahrain,48.0,25.930414,50.637772,43,6.105,1.338,1.366,0.698,0.594,0.243,0.123,2018
360,Bangladesh,50.0,23.684994,90.356331,115,4.5,0.532,0.85,0.579,0.58,0.153,0.144,2018
524,Armenia,51.0,40.069099,45.038189,129,4.321,0.816,0.99,0.666,0.26,0.077,0.028,2018
659,Belgium,56.0,50.503887,4.469936,16,6.927,1.324,1.483,0.894,0.583,0.188,0.24,2018
394,Bhutan,64.0,27.514162,90.433601,97,5.082,0.796,1.335,0.527,0.541,0.364,0.171,2018
579,Bosnia and Herzegovina,70.0,43.915886,17.679076,93,5.129,0.915,1.078,0.758,0.28,0.216,0.0,2018
48,Botswana,72.0,-22.328474,24.684866,146,3.59,1.017,1.174,0.417,0.557,0.042,0.092,2018
77,Brazil,76.0,-14.235004,-51.92528,28,6.419,0.986,1.474,0.675,0.493,0.11,0.088,2018
302,Belize,84.0,17.189877,-88.49765,49,5.956,0.807,1.101,0.474,0.593,0.183,0.089,2018
574,Bulgaria,100.0,42.733883,25.48583,100,4.933,1.054,1.515,0.712,0.359,0.064,0.009,2018
770,Myanmar,104.0,21.916222,95.95597099999999,130,4.308,0.682,1.174,0.429,0.58,0.598,0.178,2018
109,Burundi,108.0,-3.373056,29.918886,156,2.905,0.091,0.627,0.145,0.065,0.149,0.076,2018
684,Belarus,112.0,53.709807,27.953389,73,5.483,1.039,1.498,0.7,0.307,0.101,0.154,2018
243,Cambodia,116.0,12.565679,104.990963,120,4.433,0.549,1.088,0.457,0.696,0.256,0.065,2018
179,Cameroon,120.0,7.369722,12.354722,99,4.975,0.535,0.891,0.182,0.454,0.183,0.043,2018
699,Canada,124.0,56.130366,-106.346771,7,7.328,1.33,1.532,0.896,0.653,0.321,0.291,2018
174,Central African Republic,140.0,6.611111,20.939444,155,3.083,0.024,0.0,0.01,0.305,0.218,0.038,2018
184,Sri Lanka,144.0,7.873054,80.771797,116,4.471,0.918,1.314,0.672,0.585,0.307,0.05,2018
283,Chad,148.0,15.454166,18.732207,131,4.301,0.358,0.907,0.053,0.189,0.181,0.06,2018
13,Chile,152.0,-35.675147,-71.542969,25,6.476,1.131,1.331,0.808,0.431,0.197,0.061,2018
474,China,156.0,35.86166,104.195397,86,5.246,0.989,1.142,0.799,0.597,0.029,0.103,2018
156,Colombia,170.0,4.570868,-74.297333,37,6.26,0.96,1.439,0.635,0.531,0.099,0.039,2018
224,Costa Rica,188.0,9.748917,-83.753428,13,7.072,1.01,1.459,0.817,0.632,0.143,0.101,2018
589,Croatia,191.0,45.1,15.2,82,5.321,1.115,1.161,0.737,0.38,0.12,0.039,2018
469,Cyprus,196.0,35.126413,33.429859,61,5.762,1.229,1.191,0.909,0.423,0.202,0.035,2018
219,Benin,204.0,9.30769,2.315834,136,4.141,0.378,0.372,0.24,0.44,0.163,0.067,2018
704,Denmark,208.0,56.26392,9.501785,3,7.555,1.351,1.59,0.868,0.683,0.284,0.408,2018
322,Dominican Republic,214.0,18.735693,-70.162651,83,5.302,0.982,1.441,0.614,0.578,0.12,0.106,2018
119,Ecuador,218.0,-1.831239,-78.183406,48,5.973,0.889,1.33,0.736,0.556,0.114,0.12,2018
263,El Salvador,222.0,13.794185,-88.89653,40,6.167,0.806,1.231,0.639,0.461,0.065,0.082,2018
214,Ethiopia,231.0,9.145,40.489673,127,4.35,0.308,0.95,0.391,0.452,0.22,0.146,2018
714,Estonia,233.0,58.595272,25.013607,63,5.739,1.2,1.532,0.737,0.553,0.086,0.174,2018
734,Finland,246.0,61.92411,25.748151,1,7.632,1.305,1.592,0.874,0.681,0.202,0.393,2018
604,France,250.0,46.227638,2.213749,23,6.489,1.293,1.466,0.908,0.52,0.098,0.176,2018
124,Gabon,266.0,-0.803689,11.609444,103,4.758,1.036,1.164,0.404,0.356,0.032,0.052,2018
559,Georgia,268.0,42.315407,43.356892,128,4.34,0.853,0.592,0.643,0.375,0.038,0.215,2018
664,Germany,276.0,51.165691,10.451526,15,6.965,1.34,1.474,0.861,0.586,0.273,0.28,2018
189,Ghana,288.0,7.946527,-1.023194,108,4.657,0.592,0.896,0.337,0.499,0.212,0.029,2018
514,Greece,300.0,39.074208,21.824312,79,5.358,1.154,1.202,0.879,0.131,0.0,0.044,2018
293,Guatemala,320.0,15.783471,-90.230759,30,6.382,0.781,1.268,0.608,0.604,0.179,0.071,2018
229,Guinea,324.0,9.945587,-9.696645,140,3.964,0.344,0.792,0.211,0.394,0.185,0.094,2018
327,Haiti,332.0,18.971187,-72.285215,148,3.582,0.315,0.714,0.289,0.025,0.392,0.104,2018
278,Honduras,340.0,15.199999,-86.241905,72,5.504,0.62,1.205,0.622,0.459,0.197,0.074,2018
619,Hungary,348.0,47.162494,19.503304,69,5.62,1.171,1.401,0.732,0.259,0.061,0.022,2018
739,Iceland,352.0,64.963051,-19.020835,4,7.495,1.343,1.644,0.914,0.677,0.353,0.138,2018
336,India,356.0,20.593684,78.96288,133,4.19,0.721,0.747,0.485,0.539,0.172,0.093,2018
129,Indonesia,360.0,-0.789275,113.921327,96,5.093,0.899,1.215,0.522,0.538,0.484,0.018,2018
444,Iraq,368.0,33.223191,43.679291,117,4.456,1.01,0.971,0.536,0.304,0.148,0.095,2018
679,Ireland,372.0,53.41291,-8.24389,14,6.977,1.448,1.583,0.876,0.614,0.307,0.306,2018
424,Israel,376.0,31.046051,34.851612,19,6.814,1.301,1.559,0.883,0.533,0.354,0.272,2018
554,Italy,380.0,41.87194,12.56738,47,6.0,1.264,1.501,0.946,0.281,0.137,0.028,2018
316,Jamaica,388.0,18.109581,-77.297508,56,5.89,0.819,1.493,0.693,0.575,0.096,0.031,2018
489,Japan,392.0,36.204824,138.252924,54,5.915,1.294,1.462,0.988,0.553,0.079,0.15,2018
634,Kazakhstan,398.0,48.019573,66.923684,60,5.79,1.143,1.516,0.631,0.454,0.148,0.121,2018
419,Jordan,400.0,30.585164,36.238414,90,5.161,0.822,1.265,0.645,0.468,0.13,0.134,2018
134,Kenya,404.0,-0.023559,37.906193,124,4.41,0.493,1.048,0.454,0.504,0.352,0.055,2018
409,Kuwait,414.0,29.31166,47.481766,45,6.083,1.474,1.301,0.675,0.554,0.167,0.106,2018
544,Kyrgyzstan,417.0,41.20438,74.766098,92,5.131,0.53,1.416,0.594,0.54,0.281,0.035,2018
449,Lebanon,422.0,33.854721,35.862285,80,5.358,0.965,1.179,0.785,0.503,0.214,0.136,2018
27,Lesotho,426.0,-29.609988,28.233608,141,3.808,0.472,1.215,0.079,0.423,0.116,0.112,2018
709,Latvia,428.0,56.879635,24.603189,53,5.933,1.148,1.454,0.671,0.363,0.092,0.066,2018
170,Liberia,430.0,6.428055,-9.429499,149,3.495,0.076,0.858,0.267,0.419,0.206,0.03,2018
384,Libya,434.0,26.3351,17.228331,70,5.566,0.985,1.35,0.553,0.496,0.116,0.148,2018
689,Lithuania,440.0,55.169438,23.881275,50,5.952,1.197,1.527,0.716,0.35,0.026,0.006,2018
649,Luxembourg,442.0,49.815273,6.129583,17,6.91,1.576,1.52,0.896,0.632,0.196,0.321,2018
63,Madagascar,450.0,-18.766947,46.869107,143,3.774,0.262,0.908,0.402,0.221,0.155,0.049,2018
82,Malawi,454.0,-13.254308,34.301525,147,3.587,0.186,0.541,0.306,0.531,0.21,0.08,2018
151,Malaysia,458.0,4.210484,101.975766,35,6.322,1.161,1.258,0.669,0.356,0.311,0.059,2018
306,Mali,466.0,17.570692,-3.996166,118,4.447,0.37,1.233,0.152,0.367,0.139,0.056,2018
484,Malta,470.0,35.937496,14.375416,22,6.627,1.27,1.525,0.884,0.645,0.376,0.142,2018
341,Mauritania,478.0,21.00789,-10.940835,126,4.356,0.557,1.245,0.292,0.129,0.134,0.093,2018
53,Mauritius,480.0,-20.348404,57.552152,55,5.891,1.09,1.387,0.684,0.584,0.245,0.05,2018
355,Mexico,484.0,23.634501,-102.552784,24,6.488,1.038,1.252,0.761,0.479,0.069,0.095,2018
614,Mongolia,496.0,46.862496,103.846656,94,5.125,0.914,1.517,0.575,0.395,0.253,0.032,2018
569,Montenegro,499.0,42.708678,19.37439,81,5.347,1.017,1.279,0.729,0.259,0.111,0.081,2018
429,Morocco,504.0,31.791702,-7.09262,85,5.254,0.779,0.797,0.669,0.46,0.026,0.074,2018
67,Mozambique,508.0,-18.665695,35.529562,123,4.417,0.198,0.902,0.173,0.531,0.206,0.158,2018
43,Namibia,516.0,-22.95764,18.49041,119,4.441,0.874,1.281,0.365,0.519,0.051,0.064,2018
404,Nepal,524.0,28.394857,84.124008,101,4.88,0.425,1.228,0.539,0.526,0.302,0.078,2018
674,Netherlands,528.0,52.132633,5.291266,6,7.441,1.361,1.488,0.878,0.638,0.333,0.295,2018
3,New Zealand,554.0,-40.900557,174.885971,8,7.324,1.268,1.601,0.876,0.669,0.365,0.389,2018
252,Nicaragua,558.0,12.865416,-85.207229,41,6.141,0.668,1.319,0.7,0.527,0.208,0.128,2018
