Country or Region,latitude,longitude,Rank,Score,GDP,Family,Health,Freedom,Generosity,Corruption,Year
Finland,61.92411,25.748151,1,7.769,1.34,1.587,0.986,0.596,0.153,0.39299999999999996,2019
Denmark,56.26392,9.501785,2,7.6,1.383,1.5730000000000002,0.996,0.5920000000000001,0.252,0.41,2019
Norway,60.472024,8.468946,3,7.553999999999999,1.4880000000000002,1.5819999999999999,1.028,0.603,0.271,0.341,2019
Iceland,64.96305100000001,-19.020835,4,7.494,1.38,1.624,1.026,0.591,0.354,0.11800000000000001,2019
Netherlands,52.132633,5.291266,5,7.4879999999999995,1.396,1.5219999999999998,0.9990000000000001,0.557,0.322,0.298,2019
Switzerland,46.818188,8.227511999999999,6,7.48,1.452,1.526,1.052,0.5720000000000001,0.263,0.34299999999999997,2019
Sweden,60.128161,18.643501,7,7.343,1.3869999999999998,1.4869999999999999,1.0090000000000001,0.574,0.267,0.373,2019
New Zealand,-40.900557,174.88597099999998,8,7.307,1.3030000000000002,1.557,1.026,0.585,0.33,0.38,2019
Canada,56.130366,-106.34677099999999,9,7.278,1.365,1.505,1.0390000000000001,0.584,0.285,0.308,2019
Austria,47.516231,14.550072,10,7.246,1.376,1.475,1.016,0.532,0.244,0.226,2019
Australia,-25.274398,133.775136,11,7.228,1.3719999999999999,1.548,1.036,0.557,0.332,0.29,2019
Costa Rica,9.748917,-83.753428,12,7.167000000000001,1.034,1.4409999999999998,0.963,0.5579999999999999,0.14400000000000002,0.09300000000000001,2019
Israel,31.046051000000002,34.851612,13,7.138999999999999,1.276,1.455,1.0290000000000001,0.371,0.261,0.08199999999999999,2019
Luxembourg,49.815273,6.129583,14,7.09,1.609,1.479,1.012,0.526,0.19399999999999998,0.316,2019
United Kingdom,55.378051,-3.435973,15,7.053999999999999,1.3330000000000002,1.538,0.996,0.45,0.348,0.278,2019
Ireland,53.41291,-8.243889999999999,16,7.021,1.499,1.5530000000000002,0.9990000000000001,0.516,0.298,0.31,2019
Germany,51.165690999999995,10.451526,17,6.985,1.3730000000000002,1.454,0.987,0.495,0.261,0.265,2019
Belgium,50.503887,4.469936,18,6.922999999999999,1.3559999999999999,1.504,0.986,0.473,0.16,0.21,2019
United States,37.09024,-95.712891,19,6.892,1.433,1.4569999999999999,0.8740000000000001,0.45399999999999996,0.28,0.128,2019
Czech Republic,49.817492,15.472961999999999,20,6.852,1.2690000000000001,1.4869999999999999,0.92,0.457,0.046,0.036000000000000004,2019
United Arab Emirates,23.424076,53.847818000000004,21,6.825,1.5030000000000001,1.31,0.825,0.598,0.262,0.182,2019
Malta,35.937496,14.375416,22,6.726,1.3,1.52,0.9990000000000001,0.564,0.375,0.151,2019
Mexico,23.634501,-102.552784,23,6.595,1.07,1.3230000000000002,0.861,0.433,0.07400000000000001,0.073,2019
France,46.227638,2.213749,24,6.5920000000000005,1.324,1.472,1.045,0.436,0.111,0.183,2019
Taiwan,23.69781,120.96051499999999,25,6.446000000000001,1.368,1.43,0.914,0.35100000000000003,0.242,0.09699999999999999,2019
Chile,-35.675146999999996,-71.542969,26,6.444,1.159,1.369,0.92,0.35700000000000004,0.187,0.055999999999999994,2019
Guatemala,15.783470999999999,-90.23075899999999,27,6.436,0.8,1.2690000000000001,0.746,0.535,0.175,0.078,2019
Saudi Arabia,23.885942,45.079162,28,6.375,1.403,1.357,0.795,0.439,0.08,0.132,2019
Qatar,25.354826,51.183884,29,6.374,1.6840000000000002,1.3130000000000002,0.871,0.555,0.22,0.16699999999999998,2019
Spain,40.463667,-3.7492199999999998,30,6.354,1.286,1.484,1.062,0.36200000000000004,0.153,0.079,2019
Panama,8.537981,-80.782127,31,6.321000000000001,1.149,1.442,0.91,0.516,0.109,0.054000000000000006,2019
Brazil,-14.235004,-51.92528,32,6.3,1.004,1.439,0.802,0.39,0.099,0.086,2019
Uruguay,-32.522779,-55.765834999999996,33,6.292999999999999,1.124,1.465,0.8909999999999999,0.523,0.127,0.15,2019
Singapore,1.352083,103.819836,34,6.2620000000000005,1.5719999999999998,1.463,1.141,0.556,0.271,0.45299999999999996,2019
El Salvador,13.794185,-88.89653,35,6.252999999999999,0.794,1.242,0.789,0.43,0.09300000000000001,0.07400000000000001,2019
Italy,41.87194,12.56738,36,6.223,1.294,1.4880000000000002,1.0390000000000001,0.231,0.158,0.03,2019
Bahrain,25.930414000000003,50.637772,37,6.199,1.3619999999999999,1.368,0.871,0.536,0.255,0.11,2019
Slovakia,48.669026,19.699023999999998,38,6.1979999999999995,1.246,1.504,0.8809999999999999,0.33399999999999996,0.121,0.013999999999999999,2019
Trinidad and Tobago,10.66668,-61.51889,39,6.192,1.2309999999999999,1.4769999999999999,0.713,0.489,0.185,0.016,2019
Poland,51.919438,19.145135999999997,40,6.182,1.206,1.4380000000000002,0.884,0.483,0.11699999999999999,0.05,2019
Uzbekistan,41.377491,64.585262,41,6.1739999999999995,0.745,1.5290000000000001,0.7559999999999999,0.631,0.322,0.24,2019
Lithuania,55.169438,23.881275,42,6.149,1.238,1.515,0.818,0.29100000000000004,0.043,0.042,2019
Colombia,4.570868,-74.297333,43,6.125,0.985,1.41,0.841,0.47,0.099,0.034,2019
Slovenia,46.151241,14.995463,44,6.117999999999999,1.258,1.5230000000000001,0.953,0.564,0.14400000000000002,0.057,2019
Nicaragua,12.865416,-85.207229,45,6.105,0.6940000000000001,1.325,0.835,0.435,0.2,0.127,2019
Kosovo,42.602636,20.902977,46,6.1,0.882,1.232,0.758,0.489,0.262,0.006,2019
Argentina,-38.416097,-63.616671999999994,47,6.086,1.092,1.432,0.8809999999999999,0.47100000000000003,0.066,0.05,2019
Romania,45.943160999999996,24.96676,48,6.07,1.162,1.232,0.825,0.462,0.083,0.005,2019
Cyprus,35.126413,33.429859,49,6.046,1.263,1.2229999999999999,1.042,0.406,0.19,0.040999999999999995,2019
Ecuador,-1.8312389999999998,-78.183406,50,6.028,0.912,1.3119999999999998,0.868,0.498,0.126,0.087,2019
Kuwait,29.311659999999996,47.481766,51,6.021,1.5,1.319,0.8079999999999999,0.493,0.142,0.09699999999999999,2019
Thailand,15.870032,100.992541,52,6.007999999999999,1.05,1.409,0.828,0.557,0.359,0.027999999999999997,2019
Latvia,56.879635,24.603189,53,5.94,1.187,1.465,0.812,0.264,0.075,0.064,2019
South Korea,35.907757000000004,127.766922,54,5.895,1.301,1.219,1.036,0.159,0.175,0.055999999999999994,2019
Estonia,58.595271999999994,25.013607,55,5.893,1.237,1.528,0.8740000000000001,0.495,0.10300000000000001,0.161,2019
Jamaica,18.109581,-77.297508,56,5.89,0.831,1.4780000000000002,0.831,0.49,0.107,0.027999999999999997,2019
Mauritius,-20.348404000000002,57.552152,57,5.888,1.12,1.402,0.7979999999999999,0.498,0.215,0.06,2019
Japan,36.204824,138.252924,58,5.886,1.327,1.419,1.088,0.445,0.069,0.14,2019
Honduras,15.199998999999998,-86.241905,59,5.86,0.642,1.236,0.828,0.507,0.24600000000000002,0.078,2019
Kazakhstan,48.019573,66.923684,60,5.809,1.173,1.508,0.7290000000000001,0.41,0.146,0.096,2019
Bolivia,-16.290154,-63.588653,61,5.779,0.7759999999999999,1.209,0.706,0.511,0.13699999999999998,0.064,2019
Hungary,47.162494,19.503304,62,5.757999999999999,1.2009999999999998,1.41,0.828,0.19899999999999998,0.081,0.02,2019
Paraguay,-23.442503,-58.44383199999999,63,5.742999999999999,0.855,1.475,0.777,0.514,0.184,0.08,2019
North Cyprus,40.448761,-111.807632,64,5.718,1.263,1.252,1.042,0.41700000000000004,0.191,0.162,2019
Peru,-9.189967,-75.015152,65,5.697,0.96,1.274,0.8540000000000001,0.455,0.083,0.027000000000000003,2019
Portugal,39.399871999999995,-8.224454,66,5.693,1.2209999999999999,1.431,0.9990000000000001,0.508,0.047,0.025,2019
Pakistan,30.375321000000003,69.345116,67,5.653,0.677,0.8859999999999999,0.535,0.313,0.22,0.098,2019
Russia,61.52401,105.31875600000001,68,5.648,1.183,1.452,0.726,0.33399999999999996,0.08199999999999999,0.031,2019
Philippines,12.879721,121.77401699999999,69,5.631,0.807,1.2930000000000001,0.657,0.5579999999999999,0.11699999999999999,0.107,2019
Serbia,44.016521000000004,21.005859,70,5.603,1.004,1.383,0.8540000000000001,0.282,0.13699999999999998,0.039,2019
Moldova,47.411631,28.369884999999996,71,5.529,0.685,1.328,0.7390000000000001,0.245,0.18100000000000002,0.0,2019
Libya,26.3351,17.228331,72,5.525,1.044,1.3030000000000002,0.6729999999999999,0.41600000000000004,0.133,0.152,2019
Montenegro,42.708678000000006,19.37439,73,5.523,1.051,1.361,0.871,0.19699999999999998,0.142,0.08,2019
Tajikistan,38.861034000000004,71.276093,74,5.4670000000000005,0.493,1.0979999999999999,0.718,0.389,0.23,0.14400000000000002,2019
