Country or Region,CodeNum,latitude,longitude,Rank,Score,GDP,Family,Health,Freedom,Generosity,Corruption,Year
Afghanistan,4.0,33.93911,67.709953,154,3.203,0.35,0.517,0.361,0.0,0.158,0.025,2019
Albania,8.0,41.153332,20.168331,107,4.719,0.947,0.848,0.874,0.383,0.178,0.027,2019
Algeria,12.0,28.033886,1.659626,88,5.211,1.002,1.16,0.785,0.086,0.073,0.114,2019
Azerbaijan,31.0,40.143105,47.576927,90,5.208,1.043,1.147,0.769,0.351,0.035,0.182,2019
Argentina,32.0,-38.416097,-63.616672,47,6.086,1.092,1.432,0.881,0.471,0.066,0.05,2019
Australia,36.0,-25.274398,133.775136,11,7.228,1.372,1.548,1.036,0.557,0.332,0.29,2019
Austria,40.0,47.516231,14.550072,10,7.246,1.376,1.475,1.016,0.532,0.244,0.226,2019
Bahrain,48.0,25.930414,50.637772,37,6.199,1.362,1.368,0.871,0.536,0.255,0.11,2019
Bangladesh,50.0,23.684994,90.356331,125,4.456,0.562,0.928,0.723,0.527,0.166,0.143,2019
Armenia,51.0,40.069099,45.038189,116,4.559,0.85,1.055,0.815,0.283,0.095,0.064,2019
Belgium,56.0,50.503887,4.469936,18,6.923,1.356,1.504,0.986,0.473,0.16,0.21,2019
Bhutan,64.0,27.514162,90.433601,95,5.082,0.813,1.321,0.604,0.457,0.37,0.167,2019
Bosnia and Herzegovina,70.0,43.915886,17.679076,78,5.386,0.945,1.212,0.845,0.212,0.263,0.006,2019
Botswana,72.0,-22.328474,24.684866,148,3.488,1.041,1.145,0.538,0.455,0.025,0.1,2019
Brazil,76.0,-14.235004,-51.92528,32,6.3,1.004,1.439,0.802,0.39,0.099,0.086,2019
Bulgaria,100.0,42.733883,25.48583,97,5.011,1.092,1.513,0.815,0.311,0.081,0.004,2019
Myanmar,104.0,21.916222,95.95597099999999,131,4.36,0.71,1.181,0.555,0.525,0.566,0.172,2019
Burundi,108.0,-3.373056,29.918886,145,3.775,0.046,0.447,0.38,0.22,0.176,0.18,2019
Belarus,112.0,53.709807,27.953389,81,5.323,1.067,1.465,0.789,0.235,0.094,0.142,2019
Cambodia,116.0,12.565679,104.990963,109,4.7,0.574,1.122,0.637,0.609,0.232,0.062,2019
Cameroon,120.0,7.369722,12.354722,96,5.044,0.549,0.91,0.331,0.381,0.187,0.037,2019
Canada,124.0,56.130366,-106.346771,9,7.278,1.365,1.505,1.039,0.584,0.285,0.308,2019
Central African Republic,140.0,6.611111,20.939444,155,3.083,0.026,0.0,0.105,0.225,0.235,0.035,2019
Sri Lanka,144.0,7.873054,80.771797,130,4.366,0.949,1.265,0.831,0.47,0.244,0.047,2019
Chad,148.0,15.454166,18.732207,132,4.35,0.35,0.766,0.192,0.174,0.198,0.078,2019
Chile,152.0,-35.675147,-71.542969,26,6.444,1.159,1.369,0.92,0.357,0.187,0.056,2019
China,156.0,35.86166,104.195397,93,5.191,1.029,1.125,0.893,0.521,0.058,0.1,2019
Colombia,170.0,4.570868,-74.297333,43,6.125,0.985,1.41,0.841,0.47,0.099,0.034,2019
Comoros,174.0,-11.875001,43.872219,142,3.973,0.274,0.757,0.505,0.142,0.275,0.078,2019
Costa Rica,188.0,9.748917,-83.753428,12,7.167,1.034,1.441,0.963,0.558,0.144,0.093,2019
Croatia,191.0,45.1,15.2,75,5.432,1.155,1.266,0.914,0.296,0.119,0.022,2019
Cyprus,196.0,35.126413,33.429859,49,6.046,1.263,1.223,1.042,0.406,0.19,0.041,2019
Benin,204.0,9.30769,2.315834,102,4.883,0.393,0.437,0.397,0.349,0.175,0.082,2019
Denmark,208.0,56.26392,9.501785,2,7.6,1.383,1.573,0.996,0.592,0.252,0.41,2019
Dominican Republic,214.0,18.735693,-70.162651,77,5.425,1.015,1.401,0.779,0.497,0.113,0.101,2019
Ecuador,218.0,-1.831239,-78.183406,50,6.028,0.912,1.312,0.868,0.498,0.126,0.087,2019
El Salvador,222.0,13.794185,-88.89653,35,6.253,0.794,1.242,0.789,0.43,0.093,0.074,2019
Ethiopia,231.0,9.145,40.489673,134,4.286,0.336,1.033,0.532,0.344,0.209,0.1,2019
Estonia,233.0,58.595272,25.013607,55,5.893,1.237,1.528,0.874,0.495,0.103,0.161,2019
Finland,246.0,61.92411,25.748151,1,7.769,1.34,1.587,0.986,0.596,0.153,0.393,2019
France,250.0,46.227638,2.213749,24,6.592,1.324,1.472,1.045,0.436,0.111,0.183,2019
Gabon,266.0,-0.803689,11.609444,104,4.799,1.057,1.183,0.571,0.295,0.043,0.055,2019
