,Country or Region,CodeNum,latitude,longitude,Rank,Score,GDP,Family,Health,Freedom,Generosity,Corruption,Year
456,Afghanistan,4.0,33.93911,67.709953,153,3.575,0.31982,0.30285,0.30335,0.23414000000000000,0.3651,0.09719,2015
457,Afghanistan,4.0,33.93911,67.709953,154,3.36,0.38227,0.11037000000000000,0.17344,0.1643,0.31268,0.07112,2016
458,Afghanistan,4.0,33.93911,67.709953,141,3.7939999103546100,0.401477217674255,0.581543326377869,0.18074677884578700,0.106179520487785,0.311870932579041,0.0611578300595284,2017
459,Afghanistan,4.0,33.93911,67.709953,145,3.6320000000000000,0.332,0.537,0.255,0.085,0.191,0.036000000000000000,2018
460,Afghanistan,4.0,33.93911,67.709953,154,3.2030000000000000,0.35,0.517,0.361,0.0,0.158,0.025,2019
536,Albania,8.0,41.153332,20.168331,95,4.959,0.8786700000000000,0.8043400000000000,0.81325,0.35733000000000000,0.14272,0.06413000000000000,2015
537,Albania,8.0,41.153332,20.168331,109,4.655,0.9553,0.50163,0.73007,0.31866,0.1684,0.05301,2016
538,Albania,8.0,41.153332,20.168331,109,4.64400005340576,0.996192753314972,0.8036852478981020,0.731159746646881,0.381498634815216,0.20131294429302200,0.0398642159998417,2017
539,Albania,8.0,41.153332,20.168331,112,4.586,0.9160000000000000,0.8170000000000000,0.79,0.419,0.149,0.032,2018
540,Albania,8.0,41.153332,20.168331,107,4.719000000000000,0.9470000000000000,0.848,0.8740000000000000,0.38300000000000000,0.17800000000000000,0.027000000000000000,2019
396,Algeria,12.0,28.033886,1.6596260000000000,68,5.605,0.93929,1.07772,0.61766,0.28579,0.07822,0.17383000000000000,2015
397,Algeria,12.0,28.033886,1.6596260000000000,38,6.355,1.05266,0.83309,0.6180400000000000,0.21006,0.07044,0.16157,2016
398,Algeria,12.0,28.033886,1.6596260000000000,53,5.8720002174377400,1.09186446666718,1.1462174654007,0.6175846457481380,0.233335807919502,0.0694366469979286,0.14609611034393300,2017
399,Algeria,12.0,28.033886,1.6596260000000000,84,5.295,0.9790000000000000,1.1540000000000000,0.687,0.077,0.055,0.135,2018
400,Algeria,12.0,28.033886,1.6596260000000000,88,5.211,1.002,1.16,0.785,0.086,0.073,0.114,2019
92,Angola,24.0,-11.202692000000000,17.873887,137,4.033,0.75778,0.8604,0.16683,0.10384000000000000,0.12344000000000000,0.07122,2015
93,Angola,24.0,-11.202692000000000,17.873887,141,3.866,0.84731,0.66366,0.04991,0.00589,0.12071000000000000,0.08434,2016
94,Angola,24.0,-11.202692000000000,17.873887,140,3.79500007629395,0.8584281802177430,1.1044119596481300,0.0498686656355858,0.0,0.09792649000883100,0.0697203353047371,2017
95,Angola,24.0,-11.202692000000000,17.873887,142,3.795,0.73,1.125,0.26900000000000000,0.0,0.079,0.061,2018
526,Azerbaijan,31.0,40.143105,47.576927000000000,80,5.212000000000000,1.02389,0.9379300000000000,0.64045,0.3703,0.07799,0.16065,2015
527,Azerbaijan,31.0,40.143105,47.576927000000000,81,5.291,1.12373,0.76042,0.54504,0.35327,0.0564,0.17914000000000000,2016
528,Azerbaijan,31.0,40.143105,47.576927000000000,85,5.2340002059936500,1.1536017656326300,1.15240025520325,0.5407757759094240,0.39815583825111400,0.0452693402767181,0.180987507104874,2017
529,Azerbaijan,31.0,40.143105,47.576927000000000,87,5.2010000000000000,1.024,1.161,0.603,0.43,0.031,0.17600000000000000,2018
530,Azerbaijan,31.0,40.143105,47.576927000000000,90,5.208000000000000,1.043,1.147,0.769,0.35100000000000000,0.035,0.182,2019
5,Argentina,32.0,-38.416097,-63.616672000000000,30,6.574,1.05351,1.24823,0.78723,0.44974,0.11451000000000000,0.08484,2015
6,Argentina,32.0,-38.416097,-63.616672000000000,26,6.65,1.15137,1.0661200000000000,0.69711,0.42284000000000000,0.10989000000000000,0.07296,2016
7,Argentina,32.0,-38.416097,-63.616672000000000,24,6.59899997711182,1.18529546260834,1.44045114517212,0.695137083530426,0.49451920390129100,0.109457060694695,0.05973988771438600,2017
8,Argentina,32.0,-38.416097,-63.616672000000000,29,6.388,1.073,1.4680000000000000,0.7440000000000000,0.57,0.062,0.054000000000000000,2018
9,Argentina,32.0,-38.416097,-63.616672000000000,47,6.086,1.092,1.432,0.8810000000000000,0.47100000000000000,0.066,0.05,2019
31,Australia,36.0,-25.274398,133.775136,10,7.284,1.33358,1.30923,0.93156,0.6512400000000000,0.43562,0.35637000000000000,2015
32,Australia,36.0,-25.274398,133.775136,9,7.313,1.4444300000000000,1.10476,0.8512,0.5683700000000000,0.47407,0.32331,2016
33,Australia,36.0,-25.274398,133.775136,10,7.28399991989136,1.4844149351120000,1.5100419521331800,0.84388679265976,0.601607382297516,0.47769924998283400,0.301183730363846,2017
34,Australia,36.0,-25.274398,133.775136,10,7.272,1.34,1.5730000000000000,0.91,0.647,0.361,0.302,2018
35,Australia,36.0,-25.274398,133.775136,11,7.228,1.3720000000000000,1.548,1.036,0.557,0.332,0.29,2019
626,Austria,40.0,47.516231,14.550072,13,7.2,1.33723,1.29704,0.8904200000000000,0.62433,0.33088,0.18676000000000000,2015
627,Austria,40.0,47.516231,14.550072,12,7.119,1.45038,1.0838300000000000,0.80565,0.54355,0.32865,0.21348000000000000,2016
628,Austria,40.0,47.516231,14.550072,13,7.00600004196167,1.4870972633361800,1.4599449634552,0.8153284192085270,0.567766189575195,0.316472321748734,0.22106036543846100,2017
629,Austria,40.0,47.516231,14.550072,12,7.139000000000000,1.341,1.504,0.8910000000000000,0.617,0.242,0.22400000000000000,2018
630,Austria,40.0,47.516231,14.550072,10,7.246,1.376,1.475,1.016,0.532,0.244,0.226,2019
376,Bahrain,48.0,25.930414000000000,50.637772,49,5.96,1.32376,1.21624,0.74716,0.45492,0.17362,0.306,2015
377,Bahrain,48.0,25.930414000000000,50.637772,42,6.218,1.44024,0.9439700000000000,0.65696,0.47375,0.17147,0.25772,2016
378,Bahrain,48.0,25.930414000000000,50.637772,41,6.08699989318848,1.4884122610092200,1.3231104612350500,0.653133034706116,0.536746919155121,0.17266848683357200,0.257042169570923,2017
379,Bahrain,48.0,25.930414000000000,50.637772,43,6.105,1.338,1.3660000000000000,0.698,0.594,0.243,0.12300000000000000,2018
380,Bahrain,48.0,25.930414000000000,50.637772,37,6.199,1.3620000000000000,1.368,0.871,0.536,0.255,0.11,2019
357,Bangladesh,50.0,23.684994,90.35633100000000,109,4.694,0.39753,0.43106000000000000,0.60164,0.4082,0.21222,0.12569,2015
358,Bangladesh,50.0,23.684994,90.35633100000000,110,4.643,0.54177,0.24749000000000000,0.52989,0.39778,0.19132000000000000,0.12583,2016
359,Bangladesh,50.0,23.684994,90.35633100000000,110,4.60799980163574,0.586682975292206,0.735131740570068,0.533241033554077,0.478356659412384,0.17225535213947300,0.123717859387398,2017
360,Bangladesh,50.0,23.684994,90.35633100000000,115,4.5,0.532,0.85,0.579,0.58,0.153,0.14400000000000000,2018
361,Bangladesh,50.0,23.684994,90.35633100000000,125,4.456,0.562,0.9280000000000000,0.723,0.527,0.166,0.14300000000000000,2019
521,Armenia,51.0,40.069099,45.038189,127,4.35,0.7682100000000000,0.7771100000000000,0.7299,0.19847,0.07855,0.039,2015
522,Armenia,51.0,40.069099,45.038189,121,4.36,0.8608600000000000,0.6247700000000000,0.64083,0.14037,0.07793,0.036160000000000000,2016
523,Armenia,51.0,40.069099,45.038189,121,4.37599992752075,0.900596737861633,1.00748372077942,0.637524425983429,0.198303267359734,0.0834880918264389,0.0266744215041399,2017
524,Armenia,51.0,40.069099,45.038189,129,4.321000000000000,0.816,0.99,0.6660000000000000,0.26,0.077,0.028000000000000000,2018
525,Armenia,51.0,40.069099,45.038189,116,4.559,0.85,1.055,0.815,0.28300000000000000,0.095,0.064,2019
656,Belgium,56.0,50.503887,4.469936,19,6.937,1.30782,1.28566,0.8966700000000000,0.5845,0.2225,0.2254,2015
657,Belgium,56.0,50.503887,4.469936,18,6.929000000000000,1.42539,1.05249,0.8195900000000000,0.51354,0.2424,0.26248,2016
658,Belgium,56.0,50.503887,4.469936,17,6.89099979400635,1.4637807607650800,1.4623126983642600,0.8180918693542480,0.5397707223892210,0.23150333762168900,0.251343131065369,2017
659,Belgium,56.0,50.503887,4.469936,16,6.9270000000000000,1.324,1.483,0.894,0.583,0.188,0.24,2018
660,Belgium,56.0,50.503887,4.469936,18,6.923000000000000,1.3560000000000000,1.504,0.986,0.473,0.16,0.21,2019
391,Bhutan,64.0,27.514162,90.433601,79,5.253000000000000,0.77042,1.10395,0.57407,0.5320600000000000,0.47998,0.15445,2015
392,Bhutan,64.0,27.514162,90.433601,84,5.196000000000000,0.8527,0.9083600000000000,0.49759,0.46074,0.48546000000000000,0.1616,2016
393,Bhutan,64.0,27.514162,90.433601,97,5.01100015640259,0.885416388511658,1.3401265144348100,0.495879292488098,0.5015376806259160,0.474054545164108,0.17338038980960800,2017
394,Bhutan,64.0,27.514162,90.433601,97,5.082,0.7960000000000000,1.335,0.527,0.541,0.364,0.171,2018
395,Bhutan,64.0,27.514162,90.433601,95,5.082,0.813,1.321,0.604,0.457,0.37,0.16700000000000000,2019
576,Bosnia and Herzegovina,70.0,43.915886,17.679076000000000,96,4.949,0.8322300000000000,0.9191600000000000,0.79081,0.09245,0.24808000000000000,0.00227,2015
577,Bosnia and Herzegovina,70.0,43.915886,17.679076000000000,87,5.163000000000000,0.9338300000000000,0.64367,0.7076600000000000,0.09511,0.29889,0.0,2016
578,Bosnia and Herzegovina,70.0,43.915886,17.679076000000000,90,5.18200016021729,0.982409417629242,1.0693359375,0.705186307430267,0.204403176903725,0.328867495059967,0.0,2017
579,Bosnia and Herzegovina,70.0,43.915886,17.679076000000000,93,5.129,0.915,1.078,0.758,0.28,0.21600000000000000,0.0,2018
580,Bosnia and Herzegovina,70.0,43.915886,17.679076000000000,78,5.386,0.945,1.212,0.845,0.212,0.263,0.006,2019
45,Botswana,72.0,-22.328474,24.684866,128,4.332,0.99355,1.10464,0.047760000000000000,0.49495,0.10461,0.12474,2015
46,Botswana,72.0,-22.328474,24.684866,137,3.9740000000000000,1.09426,0.89186,0.34752,0.44089000000000000,0.12425,0.10769000000000000,2016
47,Botswana,72.0,-22.328474,24.684866,142,3.7660000324249300,1.12209415435791,1.2215549945831300,0.34175550937652600,0.505196332931519,0.0993484482169151,0.0985831990838051,2017
48,Botswana,72.0,-22.328474,24.684866,146,3.59,1.0170000000000000,1.1740000000000000,0.41700000000000000,0.557,0.042,0.092,2018
49,Botswana,72.0,-22.328474,24.684866,148,3.488,1.041,1.145,0.5380000000000000,0.455,0.025,0.1,2019
74,Brazil,76.0,-14.235004,-51.92528,16,6.983,0.98124,1.2328700000000000,0.69702,0.49049,0.14574,0.17521,2015
75,Brazil,76.0,-14.235004,-51.92528,17,6.952000000000000,1.08754,1.03938,0.61415,0.40425,0.15776000000000000,0.14166000000000000,2016
76,Brazil,76.0,-14.235004,-51.92528,22,6.6350002288818400,1.1073532104492200,1.43130600452423,0.6165523529052730,0.437453746795654,0.16234989464283000,0.11109276115894300,2017
77,Brazil,76.0,-14.235004,-51.92528,28,6.419,0.986,1.474,0.675,0.493,0.11,0.08800000000000000,2018
78,Brazil,76.0,-14.235004,-51.92528,32,6.3,1.004,1.439,0.802,0.39,0.099,0.086,2019
300,Belize,84.0,17.189877,-88.49765,52,5.956,0.87616,0.68655,0.45569,0.51231,0.23684000000000000,0.10771000000000000,2016
301,Belize,84.0,17.189877,-88.49765,50,5.955999851226810,0.907975316047668,1.0814177989959700,0.45019176602363600,0.5475093722343440,0.24001564085483600,0.0965810716152191,2017
302,Belize,84.0,17.189877,-88.49765,49,5.956,0.807,1.101,0.474,0.593,0.183,0.08900000000000000,2018
571,Bulgaria,100.0,42.733883,25.48583,134,4.218,1.01216,1.10614,0.76649,0.30587,0.11921,0.00872,2015
572,Bulgaria,100.0,42.733883,25.48583,129,4.217,1.11306,0.92542,0.67806,0.21219000000000000,0.12793,0.00615,2016
573,Bulgaria,100.0,42.733883,25.48583,105,4.71400022506714,1.1614590883255,1.4343794584274300,0.708217680454254,0.28923171758651700,0.113177694380283,0.0110515309497714,2017
574,Bulgaria,100.0,42.733883,25.48583,100,4.933,1.054,1.515,0.7120000000000000,0.359,0.064,0.009000000000000000,2018
575,Bulgaria,100.0,42.733883,25.48583,97,5.011,1.092,1.5130000000000000,0.815,0.311,0.081,0.004,2019
